"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get file with incorrect file id","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","21","Create file with empty filename","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","315","Create exercise","LMS service","2026-07-05","passed","2026-07-05","Create entity","Exercises","",""
"","34","Delete file","LMS service","2026-07-05","passed","2026-07-05","Delete entity","Files","",""
"","302","Delete exercise","LMS service","2026-07-05","passed","2026-07-05","Delete entity","Exercises","",""
"","320","Create course","LMS service","2026-07-05","passed","2026-07-05","Create entity","Courses","",""
"","1090","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
"","12","Get user me","LMS service","2026-07-05","passed","2026-07-05","Get entity","Users","",""
"","18","Get file","LMS service","2026-07-05","passed","2026-07-05","Get entity","Files","",""
"","275","Create file with empty directory","LMS service","2026-07-05","passed","2026-07-05","Validate entity","Files","",""
"","591","Get course","LMS service","2026-07-05","passed","2026-07-05","Get entities","Courses","",""
"","818","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
"","291","Login with correct email and password","LMS service","2026-07-05","passed","2026-07-05","Login","Authentication","",""
"","35","Get exercises","LMS service","2026-07-05","passed","2026-07-05","Get entities","Exercises","",""
"","312","Update exercise","LMS service","2026-07-05","passed","2026-07-05","Update entity","Exercises","",""
"","821","Create file","LMS service","2026-07-05","passed","2026-07-05","Create entity","Files","",""
"","299","Create user","LMS service","2026-07-05","passed","2026-07-05","Create entity","Users","",""
"","32","Get exercise","LMS service","2026-07-05","passed","2026-07-05","Get entity","Exercises","",""
"","45","Update course","LMS service","2026-07-05","passed","2026-07-05","Update entity","Courses","",""
